mode: set
claude-squad/config/config.go:23.37,25.16 2 0
claude-squad/config/config.go:25.16,27.3 1 0
claude-squad/config/config.go:28.2,28.53 1 0
claude-squad/config/config.go:55.30,57.16 2 0
claude-squad/config/config.go:57.16,60.3 2 0
claude-squad/config/config.go:63.2,64.24 2 0
claude-squad/config/config.go:64.24,66.3 1 0
claude-squad/config/config.go:68.2,72.31 1 0
claude-squad/config/config.go:72.31,74.56 2 0
claude-squad/config/config.go:74.56,77.5 2 0
claude-squad/config/config.go:78.4,78.61 1 0
claude-squad/config/config.go:91.41,93.17 2 0
claude-squad/config/config.go:93.17,95.3 1 0
claude-squad/config/config.go:99.2,100.36 2 0
claude-squad/config/config.go:100.36,102.3 1 0
claude-squad/config/config.go:102.8,102.44 1 0
claude-squad/config/config.go:102.44,104.3 1 0
claude-squad/config/config.go:104.8,106.3 1 0
claude-squad/config/config.go:108.2,110.35 3 0
claude-squad/config/config.go:110.35,112.17 2 0
claude-squad/config/config.go:112.17,117.24 3 0
claude-squad/config/config.go:117.24,119.5 1 0
claude-squad/config/config.go:120.4,120.20 1 0
claude-squad/config/config.go:125.2,126.16 2 0
claude-squad/config/config.go:126.16,128.3 1 0
claude-squad/config/config.go:130.2,130.70 1 0
claude-squad/config/config.go:133.27,135.16 2 0
claude-squad/config/config.go:135.16,138.3 2 0
claude-squad/config/config.go:140.2,142.16 3 0
claude-squad/config/config.go:142.16,143.25 1 0
claude-squad/config/config.go:143.25,146.57 2 0
claude-squad/config/config.go:146.57,148.5 1 0
claude-squad/config/config.go:149.4,149.21 1 0
claude-squad/config/config.go:152.3,153.25 2 0
claude-squad/config/config.go:156.2,157.54 2 0
claude-squad/config/config.go:157.54,160.3 2 0
claude-squad/config/config.go:162.2,162.16 1 0
claude-squad/config/config.go:166.39,168.16 2 0
claude-squad/config/config.go:168.16,170.3 1 0
claude-squad/config/config.go:172.2,172.53 1 0
claude-squad/config/config.go:172.53,174.3 1 0
claude-squad/config/config.go:176.2,178.16 3 0
claude-squad/config/config.go:178.16,180.3 1 0
claude-squad/config/config.go:182.2,182.45 1 0
claude-squad/config/config.go:186.39,188.2 1 0
claude-squad/config/config.go:191.43,194.21 2 1
claude-squad/config/config.go:194.21,196.3 1 1
claude-squad/config/config.go:198.2,201.75 2 1
claude-squad/config/config.go:205.83,206.26 1 1
claude-squad/config/config.go:206.26,208.3 1 1
claude-squad/config/config.go:211.2,212.16 2 1
claude-squad/config/config.go:212.16,214.3 1 0
claude-squad/config/config.go:215.2,224.16 4 1
claude-squad/config/config.go:224.16,226.3 1 0
claude-squad/config/config.go:228.2,228.48 1 1
claude-squad/config/config.go:228.48,230.3 1 0
claude-squad/config/config.go:232.2,232.29 1 1
claude-squad/config/config.go:236.104,239.53 2 1
claude-squad/config/config.go:239.53,241.17 2 1
claude-squad/config/config.go:241.17,243.4 1 1
claude-squad/config/config.go:245.3,248.27 3 0
claude-squad/config/config.go:248.27,251.4 1 0
claude-squad/config/config.go:254.2,254.99 1 1
claude-squad/config/config.go:258.66,259.31 1 1
claude-squad/config/config.go:259.31,261.3 1 1
claude-squad/config/config.go:263.2,263.33 1 1
claude-squad/config/config.go:263.33,265.3 1 1
claude-squad/config/config.go:268.2,269.16 2 1
claude-squad/config/config.go:269.16,272.3 2 0
claude-squad/config/config.go:274.2,274.22 1 1
claude-squad/config/config.go:274.22,276.3 1 0
claude-squad/config/config.go:279.2,279.63 1 1
claude-squad/config/config.go:283.46,284.76 1 1
claude-squad/config/config.go:284.76,285.47 1 1
claude-squad/config/config.go:285.47,287.4 1 0
claude-squad/config/state.go:53.28,60.2 1 0
claude-squad/config/state.go:63.25,65.16 2 0
claude-squad/config/state.go:65.16,68.3 2 0
claude-squad/config/state.go:70.2,72.16 3 0
claude-squad/config/state.go:72.16,73.25 1 0
claude-squad/config/state.go:73.25,76.58 2 0
claude-squad/config/state.go:76.58,78.5 1 0
claude-squad/config/state.go:79.4,79.23 1 0
claude-squad/config/state.go:82.3,83.24 2 0
claude-squad/config/state.go:86.2,87.53 2 0
claude-squad/config/state.go:87.53,90.3 2 0
claude-squad/config/state.go:92.2,92.15 1 0
claude-squad/config/state.go:96.36,98.16 2 0
claude-squad/config/state.go:98.16,100.3 1 0
claude-squad/config/state.go:102.2,102.53 1 0
claude-squad/config/state.go:102.53,104.3 1 0
claude-squad/config/state.go:106.2,108.16 3 0
claude-squad/config/state.go:108.16,110.3 1 0
claude-squad/config/state.go:112.2,112.44 1 0
claude-squad/config/state.go:118.68,121.2 2 0
claude-squad/config/state.go:124.48,126.2 1 0
claude-squad/config/state.go:129.44,132.2 2 0
claude-squad/config/state.go:137.45,139.2 1 0
claude-squad/config/state.go:142.55,145.2 2 0
