mode: set
claude-squad/session/tmux/pty.go:18.54,20.2 1 0
claude-squad/session/tmux/pty.go:22.24,22.25 0 0
claude-squad/session/tmux/pty.go:24.34,26.2 1 1
claude-squad/session/tmux/tmux.go:65.47,69.2 3 1
claude-squad/session/tmux/tmux.go:72.73,75.41 2 1
claude-squad/session/tmux/tmux.go:75.41,77.3 1 1
claude-squad/session/tmux/tmux.go:80.2,82.41 3 1
claude-squad/session/tmux/tmux.go:82.41,84.3 1 1
claude-squad/session/tmux/tmux.go:87.2,87.26 1 1
claude-squad/session/tmux/tmux.go:87.26,90.42 3 1
claude-squad/session/tmux/tmux.go:90.42,92.4 1 1
claude-squad/session/tmux/tmux.go:96.2,96.71 1 0
claude-squad/session/tmux/tmux.go:100.71,103.2 2 1
claude-squad/session/tmux/tmux.go:106.63,108.2 1 1
claude-squad/session/tmux/tmux.go:110.108,118.2 2 1
claude-squad/session/tmux/tmux.go:122.51,128.28 3 1
claude-squad/session/tmux/tmux.go:128.28,131.3 2 0
claude-squad/session/tmux/tmux.go:134.2,143.16 5 1
claude-squad/session/tmux/tmux.go:143.16,145.27 1 0
claude-squad/session/tmux/tmux.go:145.27,147.66 2 0
claude-squad/session/tmux/tmux.go:147.66,149.5 1 0
claude-squad/session/tmux/tmux.go:153.3,154.98 2 0
claude-squad/session/tmux/tmux.go:154.98,156.4 1 0
claude-squad/session/tmux/tmux.go:156.9,156.57 1 0
claude-squad/session/tmux/tmux.go:156.57,158.4 1 0
claude-squad/session/tmux/tmux.go:158.9,160.4 1 0
claude-squad/session/tmux/tmux.go:162.3,163.29 2 0
claude-squad/session/tmux/tmux.go:168.2,169.28 2 1
claude-squad/session/tmux/tmux.go:169.28,170.10 1 0
claude-squad/session/tmux/tmux.go:171.18,173.50 1 0
claude-squad/session/tmux/tmux.go:173.50,175.5 1 0
claude-squad/session/tmux/tmux.go:176.4,176.88 1 0
claude-squad/session/tmux/tmux.go:177.11,178.37 1 0
claude-squad/session/tmux/tmux.go:181.2,184.16 3 1
claude-squad/session/tmux/tmux.go:184.16,185.49 1 0
claude-squad/session/tmux/tmux.go:185.49,187.4 1 0
claude-squad/session/tmux/tmux.go:188.3,188.61 1 0
claude-squad/session/tmux/tmux.go:191.2,191.78 1 1
claude-squad/session/tmux/tmux.go:191.78,195.33 4 1
claude-squad/session/tmux/tmux.go:195.33,199.4 3 0
claude-squad/session/tmux/tmux.go:201.3,201.35 1 1
claude-squad/session/tmux/tmux.go:201.35,204.18 3 1
